replication,day,station,m3_in,m3_out,batches_processed
0,33,secado,61.037,59.631,4
0,34,aserradero,30.476,15.474,1
0,34,secado,13.897,13.421,1
0,35,aserradero,149.81900000000002,75.739,5
0,35,bano,30.860999999999997,30.711,2
0,35,drymill,70.872,67.742,4
0,35,impregnado,27.857999999999997,27.421999999999997,2
0,35,secado,46.469,45.19,3
0,36,aserradero,153.031,75.724,5
0,36,bano,44.072,43.68,3
0,36,drymill,13.826,13.047,1
0,36,impregnado,12.945,12.945,1
0,36,secado,29.468,28.432000000000002,2
0,37,aserradero,144.875,73.005,5
0,37,bano,43.615,43.291,3
0,37,drymill,44.765,42.581,3
0,37,impregnado,27.3,27.261000000000003,2
0,37,secado,28.990000000000002,28.072000000000003,2
0,38,aserradero,84.799,42.706,3
0,38,drymill,28.939,27.19,1
0,38,secado,30.434,29.768,2
0,39,aserradero,155.892,78.69,5
0,39,bano,13.954,13.954,1
0,39,drymill,57.604,55.057,3
0,39,impregnado,42.37,42.04,2
0,39,secado,59.597,56.825,4
0,40,aserradero,91.72,45.939,3
0,40,bano,15.086,14.888,1
0,40,drymill,43.962,41.816,3
0,40,impregnado,42.552,41.813,3
0,40,secado,44.573,43.354,3
0,41,aserradero,29.667,14.564,1
0,41,secado,15.385,14.784,1
0,42,aserradero,120.998,60.618,4
0,42,bano,31.491999999999997,31.188,2
0,42,drymill,44.264,42.147,3
0,42,impregnado,13.103,12.946,1
0,42,secado,29.701,29.387,2
0,43,aserradero,179.523,89.45,6
0,43,bano,15.194,15.194,1
0,43,drymill,72.95,69.193,5
0,43,impregnado,14.555,14.367,1
0,43,secado,73.766,71.602,5
0,44,aserradero,181.81300000000002,91.318,6
0,44,bano,15.262,14.979,1
0,44,drymill,58.48,55.018,4
0,44,impregnado,28.93,28.686999999999998,2
0,44,secado,73.497,70.455,5
0,45,aserradero,151.87099999999998,74.999,5
0,45,bano,31.194,30.536,2
0,45,drymill,41.281,38.783,2
0,45,secado,43.413,41.744,3
0,46,aserradero,91.818,45.366,3
0,46,bano,15.559,15.165,1
0,46,drymill,60.132999999999996,56.685,4
0,46,impregnado,26.425,26.028,2
0,46,secado,47.493,46.496,3
0,47,aserradero,182.548,91.55799999999999,6
0,47,bano,16.02,15.94,1
0,47,drymill,43.444,41.426,3
0,47,secado,43.027,41.608000000000004,3
0,48,aserradero,29.592,14.578,1
0,48,secado,45.723,44.308,3
0,49,aserradero,119.23599999999999,59.357,4
0,49,bano,15.405,15.098,1
0,49,drymill,74.56099999999999,71.42,4
0,49,impregnado,28.924999999999997,28.924999999999997,2
0,49,secado,29.363,28.533,2
0,50,aserradero,178.536,89.81,6
0,50,drymill,74.885,70.493,4
0,50,impregnado,14.03,14.03,1
0,50,secado,73.04599999999999,71.634,5
0,51,aserradero,153.121,76.717,5
0,51,bano,16.11,15.659,1
0,51,drymill,73.408,69.712,5
0,51,impregnado,39.844,39.811,3
0,51,secado,92.208,89.53,6
0,52,aserradero,181.845,91.842,6
0,52,bano,31.65,31.500999999999998,2
0,52,drymill,55.067,53.004000000000005,3
0,52,impregnado,14.656,14.656,1
0,52,secado,44.501999999999995,43.101,3
0,53,aserradero,148.566,73.604,5
0,53,drymill,73.074,69.30799999999999,5
0,53,impregnado,55.525999999999996,54.439,4
0,53,secado,88.764,86.153,6
0,54,aserradero,152.564,76.346,5
0,54,bano,29.482,29.323999999999998,2
0,54,drymill,43.908,41.472,3
0,54,impregnado,27.490000000000002,27.342,2
0,54,secado,30.087,28.673000000000002,2
0,55,aserradero,31.188,15.279,1
0,55,secado,29.799,28.767,2
0,56,aserradero,155.943,78.661,5
0,56,bano,15.506,15.506,1
0,56,drymill,59.131,56.31,4
0,56,impregnado,27.628,27.159,2
0,56,secado,29.184,28.153,2
0,57,aserradero,147.276,73.882,5
0,57,bano,15.23,15.11,1
0,57,drymill,72.506,68.85,5
0,57,impregnado,13.81,13.423,1
0,57,secado,76.011,73.762,5
0,58,aserradero,150.594,75.62100000000001,5
0,58,bano,31.666,31.648000000000003,2
0,58,drymill,42.647999999999996,40.245000000000005,3
0,58,impregnado,27.522,27.098,2
0,58,secado,58.361,56.704,4
0,59,aserradero,180.437,90.646,6
0,59,bano,29.533,29.533,2
0,59,drymill,71.215,67.83800000000001,5
0,59,impregnado,14.72,14.517,1
0,59,secado,60.919,59.104,4
0,60,aserradero,180.438,90.861,6
0,60,drymill,58.172,55.945,4
0,60,impregnado,57.092,56.436,4
0,60,secado,74.242,71.63,5
0,61,aserradero,123.31899999999999,61.317,4
0,61,drymill,73.78,69.516,5
0,61,impregnado,27.500999999999998,27.433,2
0,61,secado,61.666,59.65,4
0,62,aserradero,31.502,15.735,1
0,62,secado,28.006,26.645000000000003,2
0,63,aserradero,148.533,73.686,5
0,63,bano,14.932,14.932,1
0,63,drymill,72.181,67.961,5
0,63,impregnado,12.907,12.907,1
0,63,secado,46.18,44.807,3
0,64,aserradero,90.324,45.413,3
0,64,bano,28.494,28.299999999999997,2
0,64,drymill,29.812,28.708,2
0,64,secado,29.006999999999998,28.205,2
0,65,aserradero,157.297,78.436,5
