station,tipo,utilizacion,utilizacion_ic,disponibilidad,disponibilidad_ic,MTBF_h,MTBF_h_ic,MTTR_h,MTTR_h_ic,yield,yield_ic,n_fail_anual,f_BUSY,f_SETUP,f_IDLE,f_BLOCKED,f_DOWN,f_OFF_SHIFT
aserradero,turno,0.8419986520324871,0.013960586488926749,0.935624412507521,0.01662674123387524,67.73015475216536,8.782550857043516,4.590329565634859,0.8201741733867756,0.4999082343965712,0.00027115434585382725,67.6,0.5395906705148485,0.06404914529915443,6.561033997804481e-05,0.0,0.03717141740057124,0.35912315644544784
bano,turno,0.055646178106332246,0.003586758972369291,0.9943399771854773,0.006029888731690477,273.0840749910502,16.2230178225719,1.9311208523114731,1.8547037908024535,0.9882022341408444,0.0005579078256803608,0.8,0.031842641183224565,0.0,0.5402040301021127,0.0,0.0001833922936667816,0.4277699364209959
secado,24/7,0.3784331636174838,0.011804818162351741,0.9763946367091378,0.015813589835436234,363.78322133036374,120.31053426896871,7.872021306053112,3.3654302644112173,0.9703486308551424,0.0002846771673729547,9.4,0.3784331636174838,0.04261282220548683,0.5696725158928749,0.0,0.00928149828415445,0.0
drymill,turno,0.25334704453500617,0.007644348730574991,0.9898099453530864,0.004720412515478611,357.66617469644854,89.83533230031198,3.62394550927565,1.6652370915610915,0.9500117067049286,0.0004921590894249154,3.6,0.14680698149443258,0.032918566001894134,0.39821341684367645,0.0,0.001523425669072357,0.4205376099909245
impregnado,24/7,0.06377528895043812,0.005085817138739665,0.9886084145452548,0.013181454213077164,439.2556994229506,282.8549723043039,5.151516327653094,4.462180795894511,0.9877565539008308,0.0003412852025278069,1.2,0.06377528895043812,0.0,0.9355088140711383,0.0,0.0007158969784236034,0.0
