replication,station,BUSY,SETUP,IDLE,BLOCKED,DOWN,OFF_SHIFT,TOTAL,SCHEDULED,n_fail,MTTR_h,yield,utilizacion,disponibilidad,MTBF_h,f_BUSY,f_SETUP,f_IDLE,f_BLOCKED,f_DOWN,f_OFF_SHIFT
0,aserradero,4531.795706616581,533.5000000000744,0.0,0.0,382.03067107869856,2976.673622304646,8424.0,5447.326377695354,72.0,5.305981542759735,0.4999576678390643,0.83193027044836,0.9222539337545985,62.9416070363414,0.5379624533020633,0.06333095916430133,0.0,0.0,0.045350269596236774,0.35335631793739863
0,bano,270.95101166980794,0.0,4548.100625560826,0.0,2.3263281824033584,3602.622034586962,8424.0,4821.377965413038,1.0,2.3263281824034894,0.9877314865870406,0.05619783672085458,0.9914872993726394,270.95101166980794,0.03216417517447862,0.0,0.5398979849906014,0.0,0.0002761548174742828,0.4276616850174456
0,drymill,1216.512062289752,281.8199999999564,3375.0715060103485,0.0,7.926287433814878,3542.6701442661283,8424.0,4881.329855733871,4.0,1.9815718584538597,0.9497273103519746,0.24921734409338717,0.9935265932861346,304.128015572438,0.14441026380457644,0.03345441595441078,0.4006495140088258,0.0,0.0009409173117064195,0.4205448889204806
0,impregnado,569.5438213938664,0.0,7853.089722412042,0.0,1.36645619409137,0.0,8424.0,8424.0,1.0,1.3664561940915174,0.9881524069980336,0.06760966540762897,0.9976065307496924,569.5438213938664,0.06760966540762897,0.0,0.9322281246927875,0.0,0.00016220989958349596,0.0
0,secado,3127.4391797608605,359.88999999988044,4910.437389729238,0.0,26.23343051002098,0.0,8424.0,8424.0,7.0,3.7476329300030105,0.9702521954870656,0.3712534638842427,0.9916816252820333,446.7770256801229,0.3712534638842427,0.042721984805303946,0.582910421382863,0.0,0.0031141299275903346,0.0
1,aserradero,4547.2602173874575,530.7500000000873,2.7635075198752475,0.0,356.39650299177265,2986.8297721008075,8424.0,5437.1702278991925,71.0,5.019669056222146,0.5000715953598928,0.8363284625621189,0.9273202584694366,64.04591855475292,0.5397982214372575,0.06300451092118796,0.00032805169989022406,0.0,0.042307277183258864,0.35456193875840547
1,bano,278.88572216208183,0.0,4540.141076769217,0.0,2.820863674092834,3602.152337394609,8424.0,4821.847662605391,1.0,2.8208636740929203,0.9889029321970814,0.05783793717186648,0.9899865185411985,278.88572216208183,0.033106092374416175,0.0,0.5389531192745984,0.0,0.0003348603601724637,0.42760592799081304
1,drymill,1206.5122701796522,263.5199999999539,3396.9598664357077,0.0,7.538668580203648,3549.469194804483,8424.0,4874.530805195517,3.0,2.512889526734445,0.9506026202376846,0.24751351840749297,0.9937904841225984,402.17075672655074,0.14322320396244684,0.03128205128204581,0.40324784739265285,0.0,0.000894903677612019,0.4213519936852425
1,impregnado,514.1023010954048,0.0,7903.146483462158,0.0,6.75121544243666,0.0,8424.0,8424.0,1.0,6.751215442436346,0.98763394365455,0.06102828835415536,0.9870381686442042,514.1023010954048,0.06102828835415536,0.0,0.9381702853112723,0.0,0.0008014263345722531,0.0
1,secado,3095.6710461068283,339.9562631707963,4928.713650169152,0.0,59.65904055322335,0.0,8424.0,8424.0,8.0,7.457380069152912,0.9700024577543696,0.367482317913916,0.9810926150625423,386.95888076335353,0.367482317913916,0.04035568176291504,0.5850799679687977,0.0,0.007082032354371243,0.0
2,aserradero,4613.863738795439,540.6500000000754,0.0,0.0,207.10306513548608,3062.3831960690004,8424.0,5361.616803931,58.0,3.570742502335973,0.49952524050079605,0.8605358994347885,0.9570411758557188,79.54937480681791,0.5477046223641309,0.06417972459640021,0.0,0.0,0.0245848842753426,0.3635307687641264
2,bano,282.8036215948646,0.0,4537.193355115798,0.0,0.21544495301532152,3603.7875783363215,8424.0,4820.2124216636785,1.0,0.2154449530148309,0.9883089863479979,0.05867036488347457,0.9992387617002515,282.8036215948646,0.0335711801513372,0.0,0.538603199800071,0.0,2.5575136872664e-05,0.4278000449117191
2,drymill,1231.2334960379626,269.00999999995423,3370.007287282371,0.0,15.375776254302536,3538.373440425409,8424.0,4885.626559574591,3.0,5.125258751434181,0.9496236872712285,0.25201138094049713,0.9876659217959854,410.4111653459875,0.14615782241666223,0.03193376068375525,0.4000483484428266,0.0,0.001825234598089095,0.4200348338586668
2,impregnado,496.6957394479809,0.0,7919.5896245882295,0.0,7.714635963789192,0.0,8424.0,8424.0,1.0,7.714635963789242,0.987583048912075,0.05896198236561976,0.9847056358476143,496.6957394479809,0.05896198236561976,0.0,0.9401222251410529,0.0,0.000915792493327302,0.0
2,secado,3198.1324610295896,345.2899999998858,4824.941200771593,0.0,55.636338198931526,0.0,8424.0,8424.0,7.0,7.948048314132996,0.9705919085068502,0.3796453538734081,0.9829009552823412,456.87606586136997,0.3796453538734081,0.04098884140549452,0.5727613011362289,0.0,0.006604503584868414,0.0
3,aserradero,4474.757070136802,551.650000000074,0.0,0.0,319.2593062167018,3078.333623646422,8424.0,5345.666376353578,71.0,4.49660994671405,0.4999771877280948,0.8370812458350896,0.933404627528715,63.024747466715525,0.5311914850589746,0.06548551756885969,0.0,0.0,0.03789877804091902,0.3654242193312467
3,bano,259.6959445374465,0.0,4557.762237127468,0.0,2.361846599733326,3604.1799717353515,8424.0,4819.8200282646485,1.0,2.361846599734652,0.987917347071647,0.05388083849905672,0.9909873063132972,259.6959445374465,0.030828103577569623,0.0,0.5410448999439065,0.0,0.0002803711538144974,0.42784662532470935
